option,cases,detected_cases,detection_rate,localized_cases,localization_rate,input_unchanged,pytest_ready,median_runtime_ms_for_9_cases,implementation_lines,weighted_score,decision
pandas_natif,9,9,1.0,9,1.0,True,True,94.89515001769178,36,1.0,retenu pour le pipeline: diagnostics métier et dépendances minimales
pandera,9,9,1.0,7,0.7777777777777778,True,True,286.272849974921,36,0.8887040535797326,"conservé comme option de contrôle additionnel, non requis au runtime"
