method,baseline_alerts,baseline_alert_rate,injected_cases,injected_detected,injected_recall,stability_jaccard,median_runtime_ms
iqr_prix_brut,31,0.04341736694677871,20,19,0.95,0.8387096774193549,1.9761500298045576
mad_log_prix,0,0.0,20,0,0.0,1.0,1.9977500196546316
mad_prix_brut,33,0.046218487394957986,20,20,1.0,0.9090909090909091,2.1558500011451542
zscore_prix_brut,13,0.018207282913165267,20,11,0.55,0.46153846153846156,1.3005499786231667
