product_id,onsale_web,price,stock_quantity,stock_status,purchase_price,product_id_raw,id_web,id_web_raw,sku,sku_raw,total_sales,product_type,post_type,post_title,web_match_status,ca_octobre_ttc,prix_vente_ht,marge_unitaire_ht,taux_marque,taux_marge_sur_cout,marge_octobre_ht,valeur_stock_cout_ht,valeur_stock_vente_ttc,couverture_au_rythme_octobre_mois,segment_stock,prix_inhabituel_mad
4053,1,44.3,7,instock,22.2,4053,13127,13127,13127,13127,5.0,Vin,product,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,both,221.5,36.916666666666664,14.716666666666665,0.3986455981941309,0.6629129129129129,73.58333333333333,155.4,310.09999999999997,1.4,couverture_1_a_3_mois,False
4054,1,71.6,6,instock,38.47,4054,19816,19816,19816,19816,3.0,Vin,product,Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018,both,214.79999999999998,59.666666666666664,21.196666666666665,0.35525139664804467,0.5509921150680184,63.589999999999996,230.82,429.59999999999997,2.0,couverture_1_a_3_mois,False
4056,1,12.7,38,instock,6.36,4056,16029,16029,16029,16029,11.0,Vin,product,Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018,both,139.7,10.583333333333334,4.223333333333334,0.39905511811023625,0.6640461215932915,46.45666666666667,241.68,482.59999999999997,3.4545454545454546,couverture_3_a_6_mois,False
4057,1,8.7,29,instock,4.36,4057,16039,16039,16039,16039,14.0,Vin,product,Mourgues du Grès Costières de Nîmes Galets Dorés 2019,both,121.79999999999998,7.25,2.8899999999999997,0.3986206896551724,0.6628440366972476,40.459999999999994,126.44000000000001,252.29999999999998,2.0714285714285716,couverture_1_a_3_mois,False
4058,1,8.7,39,instock,4.72,4058,16318,16318,16318,16318,13.0,Vin,product,Mourgues du Grès Costières de Nîmes Galets Rouges 2019,both,113.1,7.25,2.5300000000000002,0.34896551724137936,0.5360169491525425,32.89,184.07999999999998,339.29999999999995,3.0,couverture_3_a_6_mois,False
4059,1,8.7,34,instock,4.32,4059,16275,16275,16275,16275,16.0,Vin,product,Mourgues du Grès Costières de Nîmes Galets Rosés 2019,both,139.2,7.25,2.9299999999999997,0.4041379310344827,0.6782407407407406,46.879999999999995,146.88,295.79999999999995,2.125,couverture_1_a_3_mois,False
4060,1,11.9,29,instock,6.33,4060,16498,16498,16498,16498,13.0,Vin,product,Mourgues du Grès Costières de Nîmes Terre d'Argence 2017,both,154.70000000000002,9.916666666666668,3.586666666666668,0.36168067226890765,0.5666140073723014,46.62666666666668,183.57,345.1,2.230769230769231,couverture_1_a_3_mois,False
4062,1,11.9,30,instock,6.27,4062,16320,16320,16320,16320,9.0,Vin,product,Mourgues du Grès IGP Pont du Gard Terre d'Argence 2018,both,107.10000000000001,9.916666666666668,3.6466666666666683,0.3677310924369749,0.5816055289739503,32.820000000000014,188.1,357.0,3.3333333333333335,couverture_3_a_6_mois,False
4063,1,14.5,33,instock,7.19,4063,16319,16319,16319,16319,12.0,Vin,product,Mourgues du Grès Costières de Nîmes Terre de Feu 2017,both,174.0,12.083333333333334,4.8933333333333335,0.4049655172413793,0.6805748725081131,58.72,237.27,478.5,2.75,couverture_1_a_3_mois,False
4064,1,14.4,32,instock,7.66,4064,15966,15966,15966,15966,10.0,Vin,product,Oratoire Saint Martin Cairanne Rouge Réserve des Seigneurs 2017,both,144.0,12.0,4.34,0.36166666666666664,0.5665796344647519,43.4,245.12,460.8,3.2,couverture_3_a_6_mois,False
4065,1,19.5,0,outofstock,9.67,4065,15022,15022,15022,15022,0.0,Vin,product,Oratoire Saint Martin Cairanne Rouge Les Douyes 2016,both,0.0,16.25,6.58,0.40492307692307694,0.6804550155118925,0.0,0.0,0.0,,ni_stock_ni_vente,False
4066,1,20.8,27,instock,10.42,4066,15967,15967,15967,15967,8.0,Vin,product,Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016,both,166.4,17.333333333333336,6.913333333333336,0.3988461538461539,0.6634676903390917,55.306666666666686,281.34,561.6,3.375,couverture_3_a_6_mois,False
4067,1,22.0,22,instock,11.37,4067,15490,15490,15490,15490,7.0,Vin,product,Gilles Robin Crozes-Hermitage Rouge Albéric 2017,both,154.0,18.333333333333336,6.9633333333333365,0.37981818181818194,0.6124303723248318,48.743333333333354,250.14,484.0,3.142857142857143,couverture_3_a_6_mois,False
4068,1,16.6,25,instock,8.92,4068,16416,16416,16416,16416,12.0,Vin,product,Gilles Robin Crozes-Hermitage Rouge Papillon 2019,both,199.20000000000002,13.833333333333336,4.913333333333336,0.3551807228915664,0.5508221225710018,58.96000000000003,223.0,415.00000000000006,2.0833333333333335,couverture_1_a_3_mois,False
4069,1,60.0,4,instock,30.07,4069,11862,11862,11862,11862,3.0,Vin,product,Gilles Robin Hermitage Rouge 2012,both,180.0,50.0,19.93,0.3986,0.6627868307283006,59.79,120.28,240.0,1.3333333333333333,couverture_1_a_3_mois,False
4070,1,23.4,32,instock,12.21,4070,15444,15444,15444,15444,10.0,Vin,product,Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018,both,234.0,19.5,7.289999999999999,0.37384615384615383,0.5970515970515969,72.89999999999999,390.72,748.8,3.2,couverture_3_a_6_mois,False
4071,1,33.2,19,instock,17.15,4071,15953,15953,15953,15953,10.0,Vin,product,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,both,332.0,27.66666666666667,10.516666666666673,0.380120481927711,0.613216715257532,105.16666666666673,325.84999999999997,630.8000000000001,1.9,couverture_1_a_3_mois,False
4072,1,32.0,8,instock,15.71,4072,12045,12045,12045,12045,5.0,Vin,product,Château de Vaudieu Châteauneuf-du-Pape Blanc 2015,both,160.0,26.666666666666668,10.956666666666667,0.410875,0.6974326331423721,54.78333333333333,125.68,256.0,1.6,couverture_1_a_3_mois,False
4073,1,77.8,8,instock,40.6,4073,13074,13074,13074,13074,4.0,Vin,product,Château de Vaudieu Châteauneuf-du-Pape L'Avenue 2015,both,311.2,64.83333333333333,24.233333333333327,0.3737789203084832,0.5968801313628899,96.93333333333331,324.8,622.4,2.0,couverture_1_a_3_mois,False
4074,1,12.7,30,instock,6.76,4074,15941,15941,15941,15941,12.0,Vin,product,Domaine de la Jérôme Côtes du Rhône Village 201,both,152.39999999999998,10.583333333333334,3.823333333333334,0.36125984251968507,0.5655818540433927,45.88000000000001,202.79999999999998,381.0,2.5,couverture_1_a_3_mois,False
4075,1,14.7,35,instock,7.97,4075,16069,16069,16069,16069,10.0,Vin,product,Plateau des Chênes Lirac 2015,both,147.0,12.25,4.28,0.34938775510204084,0.5370138017565872,42.800000000000004,278.95,514.5,3.5,couverture_3_a_6_mois,False
4076,1,14.05,32,instock,6.9,4076,13072,13072,13072,13072,13.0,Vin,product,Plateau des Chênes Lirac 2016,both,182.65,11.708333333333334,4.808333333333334,0.4106761565836299,0.6968599033816425,62.50833333333334,220.8,449.6,2.4615384615384617,couverture_1_a_3_mois,False
4077,1,22.9,34,instock,11.95,4077,15440,15440,15440,15440,12.0,Vin,product,Domaine des Bosquets Gigondas 2016,both,274.79999999999995,19.083333333333332,7.133333333333333,0.3737991266375546,0.596931659693166,85.6,406.29999999999995,778.5999999999999,2.8333333333333335,couverture_1_a_3_mois,False
4078,1,44.0,8,instock,22.28,4078,13435,13435,13435,13435,5.0,Vin,product,Domaine des Bosquets Gigondas La Colline 2015,both,220.0,36.66666666666667,14.38666666666667,0.3923636363636364,0.6457211250748056,71.93333333333335,178.24,352.0,1.6,couverture_1_a_3_mois,False
4079,1,37.0,0,outofstock,19.5,4079,13078,13078,13078,13078,0.0,Vin,product,Le Vieux Donjon Châteauneuf-du-Pape 2013,both,0.0,30.833333333333336,11.333333333333336,0.36756756756756764,0.5811965811965814,0.0,0.0,0.0,,ni_stock_ni_vente,False
4081,1,39.0,6,instock,19.14,4081,13117,13117,13117,13117,4.0,Vin,product,Le Vieux Donjon Châteauneuf-du-Pape 2016,both,156.0,32.5,13.36,0.41107692307692306,0.6980146290491117,53.44,114.84,234.0,1.5,couverture_1_a_3_mois,False
4083,1,17.0,21,instock,8.78,4083,16296,16296,16296,16296,9.0,Vin,product,"Rimauresq Côtes de Provence Blanc Cru Classé ""R"" 2019",both,153.0,14.166666666666668,5.3866666666666685,0.38023529411764717,0.613515565679575,48.48000000000002,184.38,357.0,2.3333333333333335,couverture_1_a_3_mois,False
4084,1,23.2,23,instock,11.63,4084,16014,16014,16014,16014,7.0,Vin,product,"Rimauresq Côtes de Provence Rouge Cru Classé ""R"" 2017",both,162.4,19.333333333333332,7.703333333333331,0.3984482758620689,0.6623674405273715,53.92333333333332,267.49,533.6,3.2857142857142856,couverture_3_a_6_mois,False
4085,1,19.0,27,instock,9.82,4085,16462,16462,16462,16462,8.0,Vin,product,Rimauresq Côtes de Provence Rouge Cru Classé 2017,both,152.0,15.833333333333334,6.013333333333334,0.3797894736842105,0.6123557365919892,48.10666666666667,265.14,513.0,3.375,couverture_3_a_6_mois,False
4086,1,16.4,30,instock,8.13,4086,16013,16013,16013,16013,11.0,Vin,product,Rimauresq Côtes de Provence Blanc Cru Classé 2019,both,180.39999999999998,13.666666666666666,5.536666666666665,0.4051219512195121,0.6810168101681014,60.90333333333332,243.90000000000003,491.99999999999994,2.727272727272727,couverture_1_a_3_mois,False
4087,1,14.4,15,instock,7.81,4087,16180,16180,16180,16180,7.0,Vin,product,Rimauresq Côtes de Provence Cru Classé Rosé 2019,both,100.8,12.0,4.19,0.3491666666666667,0.5364916773367479,29.330000000000002,117.14999999999999,216.0,2.142857142857143,couverture_1_a_3_mois,False
4094,1,13.7,20,instock,7.15,4094,15676,15676,15676,15676,7.0,Vin,product,Paul Ginglinger Gewurztraminer Wahlenbourg 2017,both,95.89999999999999,11.416666666666666,4.266666666666666,0.3737226277372262,0.5967365967365966,29.86666666666666,143.0,274.0,2.857142857142857,couverture_1_a_3_mois,False
4095,1,12.6,42,instock,6.31,4095,16120,16120,16120,16120,13.0,Vin,product,Paul Ginglinger Muscat Caroline 2018,both,163.79999999999998,10.5,4.19,0.3990476190476191,0.6640253565768622,54.470000000000006,265.02,529.1999999999999,3.230769230769231,couverture_3_a_6_mois,False
4096,1,22.8,18,instock,11.54,4096,15564,15564,15564,15564,6.0,Vin,product,Paul Ginglinger Pinot Gris Grand Cru Eichberg 2015,both,136.8,19.0,7.460000000000001,0.39263157894736844,0.6464471403812826,44.760000000000005,207.71999999999997,410.40000000000003,3.0,couverture_3_a_6_mois,False
4097,1,12.8,35,instock,6.48,4097,15675,15675,15675,15675,11.0,Vin,product,Paul Ginglinger Pinot Gris Les Prelats 2018,both,140.8,10.666666666666668,4.186666666666667,0.3925,0.6460905349794239,46.05333333333334,226.8,448.0,3.1818181818181817,couverture_3_a_6_mois,False
4098,1,22.1,17,instock,10.96,4098,15378,15378,15378,15378,8.0,Vin,product,Paul Ginglinger Pinot Noir Les Rocailles 2016,both,176.8,18.416666666666668,7.456666666666667,0.40488687782805427,0.680352798053528,59.653333333333336,186.32000000000002,375.70000000000005,2.125,couverture_1_a_3_mois,False
4099,1,12.8,40,instock,6.41,4099,15813,15813,15813,15813,14.0,Vin,product,Paul Ginglinger Riesling Drei Exa 2018,both,179.20000000000002,10.666666666666668,4.256666666666668,0.39906250000000004,0.6640665626625066,59.59333333333335,256.4,512.0,2.857142857142857,couverture_1_a_3_mois,False
4100,1,15.8,0,outofstock,8.57,4100,13416,13416,13416,13416,0.0,Vin,product,Emile Boeckel Gewurztraminer Grand Cru Zotzenberg 2016,both,0.0,13.166666666666668,4.596666666666668,0.34911392405063296,0.5363671723064957,0.0,0.0,0.0,,ni_stock_ni_vente,False
4101,1,15.8,21,instock,8.33,4101,14905,14905,14905,14905,7.0,Vin,product,Emile Boeckel Pinot Gris Grand Cru Zotzenberg 2016,both,110.60000000000001,13.166666666666668,4.836666666666668,0.3673417721518988,0.5806322529011606,33.856666666666676,174.93,331.8,3.0,couverture_3_a_6_mois,False
4102,1,16.3,16,instock,8.0,4102,15767,15767,15767,15767,7.0,Vin,product,Emile Boeckel Sylvaner Grand Cru Zotzenberg 2017,both,114.10000000000001,13.583333333333334,5.583333333333334,0.4110429447852761,0.6979166666666667,39.083333333333336,128.0,260.8,2.2857142857142856,couverture_1_a_3_mois,False
