,product_id,onsale_web,price,stock_quantity,stock_status,purchase_price,id_web,total_sales,product_type,post_type,z_score,ca_par_article,part_ca,cumsum_ca,part_quantite,cumsum_quantite,rotation_mensuelle,mois_de_stock,valorisation_stock_euros,prix_vente_ht,taux_marge
444,4334.0,1.0,49.0,142.0,instock,30.01,7818,7.0,Champagne,product,0.6039323006203837,343.0,0.002387247781703938,0.2620063599621661,0.0012171796209354895,0.8144670492088358,7.0,20.285714285714285,4261.42,40.833333333333336,0.2650612244897959
542,4149.0,1.0,69.0,101.0,instock,40.25,7086,5.0,Champagne,product,1.3286662868687569,345.0,0.0024011675938421535,0.25243648911714295,0.000869414014953921,0.9141018953225528,5.0,20.2,4065.25,57.5,0.3
681,5612.0,1.0,124.8,19.0,instock,66.41,14915,1.0,Vin,product,3.350674108501718,124.8,0.0008685962774246398,0.8817557198248054,0.0001738828029907842,0.9987828203790639,1.0,19.0,1261.79,104.0,0.36144230769230773
679,4582.0,1.0,109.6,18.0,instock,53.8,12857,1.0,Vin,product,2.7998762789529543,109.6,0.0007628057051742029,0.9340708977791634,0.0001738828029907842,0.9984350547730823,1.0,18.0,968.4,91.33333333333333,0.41094890510948906
514,5024.0,1.0,45.0,103.0,instock,27.04,11996,6.0,Champagne,product,0.45898550337070904,270.0,0.0018791746386590765,0.3967905089152916,0.0010432968179447052,0.8897583029038441,6.0,17.166666666666668,2785.12,37.5,0.27893333333333337
493,4970.0,1.0,49.5,100.0,instock,28.59,11225,6.0,Champagne,product,0.622050650276593,297.0,0.002067092102524984,0.33009303306442567,0.0010432968179447052,0.8678490697270057,6.0,16.666666666666668,2859.0,41.25,0.3069090909090909
458,5892.0,1.0,191.3,98.0,instock,116.06,14983,6.0,Champagne,product,5.760414612777559,1147.8000000000002,0.00798858018612181,0.025214347707163347,0.0010432968179447052,0.8313336810989418,6.0,16.333333333333332,11373.880000000001,159.41666666666669,0.27197072660742294
390,4359.0,1.0,85.6,112.0,instock,51.93,13853,7.0,Champagne,product,1.9301954954549065,599.1999999999999,0.004170375716609328,0.09070010391139761,0.0012171796209354895,0.7487393496783198,7.0,16.0,5816.16,71.33333333333333,0.27200934579439245
378,4141.0,1.0,39.0,123.0,instock,24.86,304,8.0,Champagne,product,0.24156530749619706,312.0,0.0021714906935615995,0.30478959855957777,0.0013910624239262736,0.7325682490001768,8.0,15.375,3057.7799999999997,32.5,0.2350769230769231
476,4146.0,1.0,29.5,86.0,instock,17.55,1360,6.0,Champagne,product,-0.10268333597178023,177.0,0.0012319033742320613,0.6893821760981517,0.0010432968179447052,0.8501130238219461,6.0,14.333333333333334,1509.3,24.583333333333336,0.2861016949152543
504,5027.0,1.0,62.1,79.0,instock,38.04,11997,6.0,Champagne,product,1.0786330616130682,372.6,0.002593261001349526,0.19785551374198657,0.0010432968179447052,0.8793253347243972,6.0,13.166666666666666,3005.16,51.75,0.2649275362318841
382,4147.0,1.0,33.0,100.0,instock,18.48,15648,8.0,Champagne,product,0.024145111621685086,264.0,0.0018374152022444304,0.4171353583412039,0.0013910624239262736,0.7381324986958819,8.0,12.5,1848.0,27.5,0.32799999999999996
241,5761.0,1.0,19.5,125.0,instock,12.07,13849,10.0,Huile d'olive,product,-0.46505032909596683,195.0,0.0013571816834759998,0.6221992467989655,0.001738828029907842,0.5242566510172147,10.0,12.5,1508.75,16.25,0.2572307692307692
489,4336.0,1.0,35.5,73.0,instock,21.12,13599,6.0,Champagne,product,0.11473685990273175,213.0,0.0014824599927199381,0.5584792187644636,0.0010432968179447052,0.863675882455227,6.0,12.166666666666666,1541.76,29.583333333333336,0.2860845070422535
680,4115.0,1.0,100.0,12.0,instock,52.7,15382,1.0,Vin,product,2.4520039655537356,100.0,0.0006959906069107691,0.9654572901884108,0.0001738828029907842,0.998608937576073,1.0,12.0,632.4000000000001,83.33333333333334,0.36760000000000004
304,5026.0,1.0,86.8,101.0,instock,50.13,13913,9.0,Champagne,product,1.973679534629809,781.1999999999999,0.005437078621186928,0.04973548876984356,0.001564945226917058,0.6256303251608436,9.0,11.222222222222221,5063.13,72.33333333333333,0.306958525345622
363,4358.0,1.0,77.0,81.0,instock,47.16,13854,8.0,Champagne,product,1.6185598813681061,616.0,0.004287302138570337,0.08652972819478828,0.0013910624239262736,0.7117023126412826,8.0,10.125,3819.9599999999996,64.16666666666667,0.26503896103896113
384,5047.0,1.0,22.5,76.0,instock,13.78,531,8.0,Champagne,product,-0.3563402311587109,180.0,0.0012527830924393844,0.6794538700905695,0.0013910624239262736,0.7409146235437345,8.0,9.5,1047.28,18.75,0.26506666666666673
43,4353.0,1.0,79.5,127.0,instock,45.91,12587,14.0,Champagne,product,1.709151629649153,1113.0,0.00774637545491686,0.03296072316208021,0.002434359241870979,0.12745609459224488,14.0,9.071428571428571,5830.57,66.25,0.30701886792452837
661,5001.0,1.0,217.5,18.0,instock,116.87,14581,2.0,Vin,product,6.709816134762928,435.0,0.0030275591400618458,0.15589354406072936,0.0003477656059815684,0.9925230394713951,2.0,9.0,2103.66,181.25,0.35519999999999996
657,6216.0,1.0,121.0,14.0,instock,60.02,15070,2.0,Vin,product,3.212974651114527,242.0,0.0016842972687240612,0.46463184532861546,0.0003477656059815684,0.9911319770474687,2.0,7.0,840.2800000000001,100.83333333333334,0.4047603305785124
667,4903.0,1.0,102.3,12.0,instock,51.8,14805,2.0,Vin,product,2.5353483739722984,204.6,0.0014239967817394335,0.5890415582951295,0.0003477656059815684,0.9946096331072847,2.0,6.0,621.5999999999999,85.25,0.392375366568915
641,5007.0,1.0,105.0,15.0,instock,55.88,12791,3.0,Vin,product,2.6331874621158287,315.0,0.0021923704117689227,0.29175230251092527,0.0005216484089723526,0.9829594853069011,3.0,5.0,838.2,87.5,0.36137142857142857
586,4404.0,1.0,108.5,17.0,instock,52.22,3507,4.0,Cognac,product,2.7600159097092942,434.0,0.003020599233992738,0.1589141432947221,0.0006955312119631368,0.9492262215266893,4.0,4.25,887.74,90.41666666666667,0.42245161290322586
652,5917.0,1.0,122.0,12.0,instock,54.24,14775,3.0,Whisky,product,3.249211350426946,366.0,0.0025473256212934147,0.20553229013621238,0.0005216484089723526,0.9886976178055975,3.0,4.0,650.88,101.66666666666667,0.46649180327868855
640,5918.0,1.0,114.0,12.0,instock,52.25,14773,3.0,Whisky,product,2.9593177559275965,342.0,0.0023802878756348303,0.26676693571343574,0.0005216484089723526,0.9824378368979287,3.0,4.0,627.0,95.0,0.45
651,4402.0,1.0,176.0,11.0,instock,78.25,3510,3.0,Cognac,product,5.205993113297554,528.0,0.003674830404488861,0.11017461708336784,0.0005216484089723526,0.9881759693966251,3.0,3.6666666666666665,860.75,146.66666666666669,0.4664772727272728
93,6738.0,1.0,15.4,42.0,instock,8.12,8193,12.0,Vin,product,-0.6136207962768834,184.8,0.0012861906415711014,0.6617203774217866,0.0020865936358894104,0.24134933055120858,12.0,3.5,341.03999999999996,12.833333333333334,0.36727272727272736
193,4075.0,1.0,14.7,35.0,instock,7.97,16069,10.0,Vin,product,-0.6389864857955765,147.0,0.0010231061921588305,0.7988155631851591,0.001738828029907842,0.4407929055816384,10.0,3.5,278.95,12.25,0.34938775510204084
196,4208.0,1.0,7.6,35.0,instock,3.77,16024,10.0,Vin,product,-0.8962670509137489,76.0,0.0005289528612521845,0.993179292052274,0.001738828029907842,0.4460093896713619,10.0,3.5,131.95,6.333333333333333,0.4047368421052631
139,4050.0,1.0,21.8,42.0,instock,11.26,16449,12.0,Vin,product,-0.3817059206774039,261.6,0.001820711427678572,0.4262778909535838,0.0020865936358894104,0.33733263780212197,12.0,3.5,472.92,18.166666666666668,0.38018348623853215
112,4703.0,1.0,19.8,42.0,instock,9.72,15465,12.0,Vin,product,-0.4541793193022412,237.60000000000002,0.0016536736820199876,0.47129665138039295,0.0020865936358894104,0.2809946096331076,12.0,3.5,408.24,16.5,0.4109090909090909
36,6618.0,1.0,13.5,49.0,instock,7.18,15539,14.0,Vin,product,-0.6824705249704788,189.0,0.0013154222470613537,0.6435619824874845,0.002434359241870979,0.110415579899148,14.0,3.5,351.82,11.25,0.3617777777777778
600,6215.0,1.0,115.0,14.0,instock,56.45,12790,4.0,Vin,product,2.9955544552400153,460.0,0.003201556791789538,0.14044603254034485,0.0006955312119631368,0.9589636584941725,4.0,3.5,790.3000000000001,95.83333333333334,0.41095652173913044
141,4731.0,1.0,22.0,42.0,instock,11.03,8344,12.0,Vin,product,-0.37445858081492017,264.0,0.0018374152022444304,0.41162311273447055,0.0020865936358894104,0.3415058250739008,12.0,3.5,463.26,18.333333333333336,0.3983636363636365
100,4776.0,1.0,6.8,42.0,instock,3.48,14302,12.0,Vin,product,-0.9252564103636838,81.6,0.0005679283352391875,0.9882843901138705,0.0020865936358894104,0.2559554860024345,12.0,3.5,146.16,5.666666666666667,0.3858823529411765
